Model,Class,Precision,Recall,F1-Score,Support
CNN,Anomaly,0.9805972141871746,0.9392583120204604,0.9594827023143411,23460
CNN,Normal,0.43963822257176566,0.7194337194337195,0.5457651940444227,1554
LSTM,Anomaly,0.9953372707491451,0.9554134697357204,0.9749668326844864,23460
LSTM,Normal,0.5807615230460922,0.9324324324324325,0.7157322795752038,1554
Hybrid,Anomaly,0.9958004799451491,0.990537084398977,0.9931618087015984,23460
Hybrid,Normal,0.867699642431466,0.9369369369369369,0.900990099009901,1554
