Model,Accuracy,Precision,Recall,F1,AUC
CNN Only,0.9256016630686815,0.9469900232952603,0.9256016630686815,0.9337804152810215,0.9249394352335527
LSTM Only,0.9539857679699368,0.9695816654109127,0.9539857679699368,0.9588618316637849,0.9852759591890026
CNN+LSTM Hybrid,0.9872071639881667,0.9878421885284918,0.9872071639881667,0.987435621891776,0.9901693344787973
