Model,Accuracy,Precision,Recall,F1,AUC
CNN Only,0.9258415287439035,0.9569108969527197,0.9258415287439035,0.9363934410328898,0.9555201438193767
LSTM Only,0.9533861037818822,0.9699265521627495,0.9533861037818822,0.9584990579014505,0.987083301789184
CNN+LSTM Hybrid,0.9916846565923083,0.9918314219053503,0.9916846565923083,0.9917436334146178,0.9927582588068522
