Model,Class,Precision,Recall,F1-Score,Support
CNN,Anomaly,0.9905099214457612,0.9298380221653879,0.9592155310775454,23460
CNN,Normal,0.4496823804747576,0.8655083655083655,0.5918591859185919,1554
LSTM,Anomaly,0.995995372430364,0.9541346973572038,0.9746157530369661,23460
LSTM,Normal,0.5763779527559055,0.9420849420849421,0.7151929653150952,1554
Hybrid,Anomaly,0.9965829489150863,0.9945439045183291,0.9955623826591569,23460
Hybrid,Normal,0.920099875156055,0.9485199485199485,0.9340937896070975,1554
